"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
1998-01-01,7,6.80418167804316,6.95557229126609,6.75527614365302,6.99300000425485
1999-01-01,6.2,6.61570760219092,6.99999555537947,6.6512623050085,6.92557654048811
2000-01-01,5.8,6.41807618894028,6.20008003286175,6.54724846636397,5.89263025273165
2001-01-01,6,6.56635504741678,5.80004002465982,6.44294965829849,5.75873885995745
2002-01-01,5.8,6.38714391519577,5.99997999567753,6.33893581965396,6.11133612218686
2003-01-01,5.6,6.19866983931229,5.80002000632533,6.23492198100943,5.65552591886421
2004-01-01,5.6,6.00103842608317,5.60002001032807,6.1309081423649,5.57421910601352
2005-01-01,5.6,6.14931728457886,5.60000000200187,6.02660933429943,5.61197225598347
2006-01-01,5.6,5.97010615224621,5.6000000000002,5.9225954956549,5.59444005673551
2007-01-01,5.8,5.78163207625291,5.6,5.81858165701037,5.6025821506113
2008-01-01,6.5,5.58400066296743,5.7999799916734,5.71456781836584,5.89168226853913
2009-01-01,6.6,5.73227952132538,6.49992996885523,5.61026901030036,6.78250705212906
2010-01-01,6.8,5.55306777293366,6.59998998883067,5.50625517165583,6.51524243006244
2011-01-01,7,5.36458331632459,6.79997999067187,5.4022413330113,6.93224343963164
2012-01-01,6.8,5.16694044806267,6.99997998967163,5.29822749436677,7.03146662831295
2013-01-01,6.8,5.31520781921797,6.80002000632473,5.1939286863013,6.6925052521131
2014-01-01,6.4,5.13598523070647,6.80000000200147,5.08991484765677,6.84992132519805
2015-01-01,4.5,4.94749969869207,6.4000400166534,4.98590100901224,6.19105333764622
2016-01-01,4,4.74985682924251,4.50019008310603,4.88188717036771,3.71466280664759
2017-01-01,3.8,4.89812419997719,4.00005003983272,4.77758836230223,4.13251262133379
2018-01-01,3.8,4.71890161136023,3.80002001333267,4.6735745236577,3.64557877449537
2019-01-01,3.7,4.53041607917636,3.80000000200217,4.56956068501317,3.87171431505578
2020-01-01,3.7,4.33277320962942,3.7000100041635,4.46554684636864,3.62025465120319
2021-01-01,4,4.48104058036381,3.70000000100083,4.36124803830317,3.73703430696887
