"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",0.771964505773818,14.2579679242387,0.88132976308716,NA,NA,NA
"ETS",0.28520472927936,5.48784590158341,0.489149899033406,NA,43.2791317897715,46.8132932808154
"Linear Regression",0.777443291224067,14.3640427017053,0.886460294705302,0.397813277692419,68.3241403155476,71.8583018065915
"ARIMA(Auto)",0.27433467761234,5.33952645444716,0.441125795187714,NA,32.8451736677875,35.1161620996458
