"ds","yhat","yhat_lower","yhat_upper","trend"
1998-01-01,6.80418167804316,5.65830958905922,7.90478076396865,-0.045739967348294
1999-01-01,6.61570760219092,5.52446098472564,7.75852817187408,-0.149928046375607
2000-01-01,6.41807618894028,5.24306602578859,7.5798924872696,-0.254116125437019
2001-01-01,6.56635504741678,5.41238647275207,7.81010822334465,-0.358589651233065
2002-01-01,6.38714391519577,5.31239646286324,7.45826739025833,-0.462777730195677
2003-01-01,6.19866983931229,5.10380164003608,7.26367789255473,-0.566965809254021
2004-01-01,6.00103842608317,4.91239255746216,7.0885279288413,-0.671153888294372
2005-01-01,6.14931728457886,4.98308101217151,7.31464477677425,-0.775627414070818
2006-01-01,5.97010615224621,4.89788069889281,7.13994376536946,-0.879815493145319
2007-01-01,5.78163207625291,4.65762615169641,6.93559640729829,-0.984003572313513
2008-01-01,5.58400066296743,4.53088190123638,6.69477891430761,-1.08819165141019
2009-01-01,5.73227952132538,4.54156705828265,6.8850520387939,-1.19266517732455
2010-01-01,5.55306777293366,4.39602828580807,6.71160314955568,-1.29685387245787
2011-01-01,5.36458331632459,4.23105236706022,6.52814982659639,-1.4010523322417
2012-01-01,5.16694044806267,4.01922197571799,6.22279543439323,-1.50525186631497
2013-01-01,5.31520781921797,4.20846548211962,6.49178032654413,-1.60973687943193
2014-01-01,5.13598523070647,3.98676663912299,6.23086169280004,-1.71393641468475
2015-01-01,4.94749969869207,3.91951767580753,6.07882312565652,-1.81813594987421
2016-01-01,4.74985682924251,3.64360326437429,5.8450521589189,-1.92233548513511
2017-01-01,4.89812419997719,3.82407852707974,6.04226283398126,-2.02682049867272
2018-01-01,4.71890161136023,3.5879280956103,5.83561104005012,-2.13102003403127
2019-01-01,4.53041607917636,3.39487138050354,5.65615993683972,-2.23521956938982
2020-01-01,4.33277320962942,3.16820437749312,5.34937321318425,-2.33941910474836
2021-01-01,4.48104058036381,3.38594644361431,5.56791991271863,-2.44390411828598
2022-01-01,4.30181799174687,3.23894360539189,5.46521334586894,-2.54810365364452
2023-01-01,4.11333245956333,3.01413264466305,5.31108757251722,-2.65230318900307
2024-01-01,3.91568959001588,2.76874388998765,5.0319267178902,-2.75650272436162
2025-01-01,4.06395696075069,2.91727595392631,5.14475806012553,-2.86098773789923
2026-01-01,3.88473437213354,2.79848780148454,5.04823133503616,-2.96518727325778
2027-01-01,3.69624883994974,2.58719983769872,4.86978471846057,-3.06938680861632
2028-01-01,3.49860597040298,2.34398800607573,4.61258898316052,-3.17358634397487
2029-01-01,3.64687334113727,2.42688103986175,4.71879315495581,-3.27807135751248
2030-01-01,3.46765075252085,2.31253938629049,4.53723727330321,-3.38227089287103
2031-01-01,3.27916522033639,2.18454132863819,4.41929973751057,-3.48647042822958
2032-01-01,3.08152235078943,2.01786657260848,4.15711606281538,-3.59066996358813
2033-01-01,3.22978972152389,2.16550415554475,4.36324914898656,-3.69515497712574
