"ds","Residuals"
1998-01-01,0.00699999574514501
1999-01-01,-0.725576540488113
2000-01-01,-0.0926302527316484
2001-01-01,0.241261140042551
2002-01-01,-0.311336122186856
2003-01-01,-0.0555259188642155
2004-01-01,0.0257808939864784
2005-01-01,-0.011972255983467
2006-01-01,0.00555994326448609
2007-01-01,0.197417849388697
2008-01-01,0.608317731460867
2009-01-01,-0.182507052129061
2010-01-01,0.284757569937565
2011-01-01,0.0677565603683551
2012-01-01,-0.231466628312954
2013-01-01,0.107494747886895
2014-01-01,-0.44992132519805
2015-01-01,-1.69105333764621
2016-01-01,0.285337193352415
2017-01-01,-0.332512621333787
2018-01-01,0.154421225504631
2019-01-01,-0.171714315055778
2020-01-01,0.0797453487968095
2021-01-01,0.262965693031131
