"ds","Residuals"
1998-01-01,0.195818321956839
1999-01-01,-0.415707602190922
2000-01-01,-0.618076188940276
2001-01-01,-0.56635504741678
2002-01-01,-0.587143915195766
2003-01-01,-0.598669839312292
2004-01-01,-0.401038426083173
2005-01-01,-0.549317284578865
2006-01-01,-0.370106152246213
2007-01-01,0.01836792374709
2008-01-01,0.915999337032571
2009-01-01,0.867720478674618
2010-01-01,1.24693222706634
2011-01-01,1.63541668367541
2012-01-01,1.63305955193733
2013-01-01,1.48479218078203
2014-01-01,1.26401476929353
2015-01-01,-0.447499698692068
2016-01-01,-0.749856829242515
2017-01-01,-1.09812419997719
2018-01-01,-0.918901611360229
2019-01-01,-0.830416079176358
2020-01-01,-0.632773209629424
2021-01-01,-0.481040580363805
