"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
2010-01-01,8.6,9.23157388799872,9.43965768691602,9.28173115051948,8.590910004545
2011-01-01,8.9,8.81142808692851,8.87769819352211,8.74933952562099,8.10999999999736
2012-01-01,8.6,8.4108128774475,8.31591156617712,8.21694790072251,8.41000000000076
2013-01-01,7.5,7.51323237172648,7.75423165305211,7.68309766863254,8.11000000000076
2014-01-01,7.3,7.07335488701838,7.19239680237745,7.15070604373406,7.01000000000076
2015-01-01,7.1,6.65317695489018,6.63065372310232,6.61831441883559,6.81000000000076
2016-01-01,6.3,6.2522488725343,6.06907311516509,6.08592279393712,6.61000000000076
2017-01-01,5.6,5.3542754655488,5.5074910424925,5.55207256184714,5.81000000000076
2018-01-01,4.7,4.91401039114412,4.94589999497758,5.01968093694866,5.11000000000076
2019-01-01,4.5,4.49345554262727,4.38419471972203,4.48728931205019,4.21000000000076
2020-01-01,3.7,4.09243129141302,3.82258279397659,3.95489768715172,4.01000000000076
