"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2021,3.26090030130313,3.03025548151552,3.49154512109074,2.90815948918268,3.61364111342358
2022,2.69924177259075,2.50832327023298,2.89016027494851,2.40725712003053,2.99122642515096
2023,2.13758324387837,1.98639102249743,2.2887754652593,1.9063546951283,2.36881179262843
2024,1.57592471516598,1.46445869326639,1.68739073706558,1.4054521455895,1.74639728474247
2025,1.0142661864536,0.942526142460348,1.08600623044685,0.904549257180963,1.12398311572624
2026,0.45260765774122,0.420592541549488,0.484622773932951,0.403644762775699,0.50157055270674
2027,-0.109050870971162,-0.116775852365112,-0.101325889577212,-0.120865210495573,-0.0972365314467512
2028,-0.670709399683544,-0.718151543595943,-0.623267255771145,-0.743265897539449,-0.598152901827639
2029,-1.23236792839593,-1.31953565801359,-1.14520019877826,-1.3656794667359,-1.09905639005595
2030,-1.79402645710831,-1.92092028851513,-1.66713262570148,-1.98809382521455,-1.59995908900206
2031,-2.35568498582069,-2.52230507100751,-2.18906490063387,-2.61050841614312,-2.10086155549826
2032,-2.91734351453307,-3.12368992423954,-2.71099710482661,-3.23292311525866,-2.60176391380748
