"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2021,3.21000000000076,2.65481173430078,3.76518826570074,2.36091281953385,4.05908718046767
2022,2.72000000000152,1.93484522497821,3.50515477502483,1.51920939374809,3.92079060625495
2023,2.23000000000228,1.26838571604386,3.1916142839607,0.759337863378191,3.70066213662637
2024,1.74000000000304,0.629623468603077,2.850376531403,0.0418256390692233,3.43817436093685
2025,1.2500000000038,0.00856129758842661,2.49143870241917,-0.648616654343839,3.14861665435144
2026,0.760000000004558,-0.599927962141127,2.11992796215024,-1.31983033927782,2.83983033928694
2027,0.270000000005318,-1.19889008185808,1.73889008186872,-1.97647352092314,2.51647352093378
2028,-0.219999999993922,-1.79030955004054,1.3503095500527,-2.62158121250079,2.18158121251294
2029,-0.709999999993162,-2.3755647970931,0.955564797106781,-3.25726154139389,1.83726154140756
2030,-1.1999999999924,-2.95565944980308,0.555659449818275,-3.88504942231826,1.48504942233346
2031,-1.68999999999164,-3.53135116532662,0.151351165343335,-4.50610359190116,1.12610359191787
2032,-2.17999999999088,-4.10322856790772,-0.256771432074051,-5.12132427323906,0.761324273257294
