"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",0.227499568662491,3.68766844011123,0.29483779463436,NA,NA,NA
"ETS",0.253177542396698,3.74795871804051,0.334869865415754,NA,8.44489749738612,10.434373861378
"Linear Regression",0.261710444227709,3.96108638813285,0.32156940083157,0.964845379788458,12.2567260873174,13.4504119057126
"ARIMA(Auto)",0.337189999587128,5.41806450506166,0.391858349641661,NA,14.5942861124328,15.1994562984209
