"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",0.550973958963622,38.8068909107587,0.659054513582659,NA,NA,NA
"ETS",0.40414680250409,26.0891602061497,0.537413419998496,NA,23.9307195116428,26.0548701149495
"Linear Regression",0.552059027816644,38.8795780070618,0.661170274454421,0.416481492287729,36.1558398657997,38.2799904691064
"ARIMA(Auto)",0.393373333313391,24.9108550675361,0.531036744491376,NA,24.9743042179244,25.6133615475396
