"ds","Forecast","Lower95","Upper95"
4062913-07-11,2.45845265474069,0.748729739108799,4.16817557037258
4062914-07-11,2.45845415004941,0.748730836234636,4.16817746386419
4062915-07-11,2.45845564535814,0.748731933359908,4.16817935735637
4062916-07-10,2.45845714066686,0.748733030484616,4.1681812508491
4062917-07-10,2.45845863597558,0.748734127608758,4.16818314434241
4062918-07-10,2.45846013128431,0.748735224732335,4.16818503783628
4062919-07-10,2.45846162659303,0.748736321855347,4.16818693133071
4062920-07-09,2.45846312190175,0.748737418977793,4.16818882482571
4062921-07-09,2.45846461721047,0.748738516099675,4.16819071832127
4062922-07-09,2.4584661125192,0.748739613220992,4.1681926118174
4062923-07-09,2.45846760782792,0.748740710341743,4.1681945053141
4062924-07-08,2.45846910313664,0.74874180746193,4.16819639881136
