"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
2003-01-01,0.6,0.655976422152628,0.522625990830092,0.648309896037378,0.5994000003
2004-01-01,0.4,0.772335167103208,0.590561318579056,0.77750456970555,0.600000000000862
2005-01-01,0.7,0.900879096229663,0.423246146820092,0.90705320138377,0.4
2006-01-01,0.7,1.04312513413484,0.666239419668072,1.03624787505194,0.7
2007-01-01,0.8,1.17242747179044,0.695881622708221,1.16544254872011,0.7
2008-01-01,1.2,1.28878621679309,0.787298833240439,1.29463722238828,0.8
2009-01-01,1.1,1.41733014585719,1.14965551253081,1.4241858540665,1.2
2010-01-01,2.1,1.55957618364566,1.10605736433462,1.55338052773467,1.1
2011-01-01,3,1.6888785213377,1.97875117252696,1.68257520140284,2.1
2012-01-01,2.4,1.80523726640885,2.87542015158005,1.81176987507101,3
2013-01-01,2.7,1.93378119548416,2.45799543541821,1.94131850674924,2.4
2014-01-01,3,2.0760272331489,2.67047840725836,2.07051318041741,2.7
2015-01-01,1.8,2.20532957065086,2.95980240175508,2.19970785408558,3
2016-01-01,1.5,2.32168831541021,1.94148168744072,2.32890252775375,1.8
2017-01-01,1.3,2.45023224435745,1.55385535848069,2.45845115943197,1.5
