"ds","Residuals"
2000-01-01,-0.0199966905957901
2001-01-01,0.188588590147059
2002-01-01,-0.113148255783846
2003-01-01,-0.111411409852941
2004-01-01,0.239457013112512
2005-01-01,-0.213148255783846
2006-01-01,0.339457013112512
2007-01-01,-0.0640166787492987
2008-01-01,0.137720167181606
2009-01-01,0.186851744216154
2010-01-01,-0.0640166787492987
2011-01-01,-0.0622798328183935
2012-01-01,0.0885885901470593
2013-01-01,0.237720167181606
2014-01-01,0.135983321250701
2015-01-01,-0.164016678749299
2016-01-01,-0.411411409852941
2017-01-01,-0.20793771799113
2018-01-01,-0.10793771799113
