"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
2000-01-01,2.6,2.73817753414474,2.63455192294686,2.77632296556191,2.61999669059579
2001-01-01,2.8,2.79936941565589,2.61290338460409,2.7613809996207,2.61141140985294
2002-01-01,2.6,2.76513488088569,2.73012893695408,2.74647985872305,2.71314825578385
2003-01-01,2.5,2.72426889994813,2.6485965346769,2.73157871782539,2.61141140985294
2004-01-01,2.8,2.67680473084239,2.55549324246643,2.71667757692774,2.56054298688749
2005-01-01,2.5,2.73799661241406,2.70868917091509,2.70173561098654,2.71314825578385
2006-01-01,2.9,2.70376207775427,2.57793478351895,2.68683447008888,2.56054298688749
2007-01-01,2.7,2.66289609668162,2.77972503405245,2.67193332919123,2.7640166787493
2008-01-01,2.8,2.61543192736935,2.72977324239046,2.65703218829358,2.66227983281839
2009-01-01,2.9,2.67662380870251,2.77377388041968,2.64209022235237,2.71314825578385
2010-01-01,2.7,2.64238927333666,2.85286096896742,2.62718908145472,2.7640166787493
2011-01-01,2.6,2.60152329156614,2.75708579162366,2.61228794055707,2.66227983281839
2012-01-01,2.7,2.554034307398,2.65866354785162,2.59738679965942,2.61141140985294
2013-01-01,2.9,2.61519096831135,2.68456293905669,2.58244483371821,2.66227983281839
2014-01-01,2.9,2.58092130919312,2.81954522300821,2.56754369282056,2.7640166787493
2015-01-01,2.6,2.5400192929429,2.869954235764,2.55264255192291,2.7640166787493
2016-01-01,2.2,2.49251908851583,2.70081416698354,2.53774141102526,2.61141140985294
2017-01-01,2.2,2.55367483599723,2.38702860103348,2.52279944508405,2.40793771799113
2018-01-01,2.3,2.51940426597132,2.26984566314333,2.5078983041864,2.40793771799113
