"ds","Residuals"
1998-01-01,0.00473704848440695
1999-01-01,-0.109488630347295
2000-01-01,-0.0471428879734645
2001-01-01,-0.0258112817366901
2002-01-01,-0.00221015482594214
2003-01-01,-0.0884957775553307
2004-01-01,-0.0606887506814617
2005-01-01,-0.0232621381223545
2006-01-01,0.0211615839546651
2007-01-01,-0.046630144458601
2008-01-01,-0.0271786813611984
2009-01-01,-0.0838014478250615
2010-01-01,-0.0640329694921148
2011-01-01,-0.0325799225197269
2012-01-01,0.0269325611349184
2013-01-01,0.0360682967907721
2014-01-01,0.0284846007356423
2015-01-01,0.0276951600462506
2016-01-01,0.00898476083044763
2017-01-01,0.0652828497443774
2018-01-01,0.0222904007636314
2019-01-01,2.18509993501271e-06
2020-01-01,-0.0735694820859621
2021-01-01,0.23234313401656
