"ds","Residuals"
1998-01-01,9.9813587540362
1999-01-01,4.58258583689472
2000-01-01,2.88381291975332
2001-01-01,2.2866872000992
2002-01-01,2.7879142829578
2003-01-01,-0.610858634183608
2004-01-01,-2.50963155132501
2005-01-01,-2.80675727097914
2006-01-01,-1.40553018812054
2007-01-01,-2.60430310526195
2008-01-01,-3.00307602240336
2009-01-01,-5.40020174205748
2010-01-01,-6.89897465919888
2011-01-01,-7.29774757634029
2012-01-01,-5.8965204934817
2013-01-01,-4.19364621313581
2014-01-01,-2.69241913027722
2015-01-01,-1.19119204741863
2016-01-01,-0.289964964560032
2017-01-01,2.51290931578584
2018-01-01,3.91413639864444
2019-01-01,4.51536348150303
2020-01-01,2.41659056436163
2021-01-01,10.9194648447075
