"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2022-01-01,30.7517775013977,24.403274848503,36.4395926870288,41.8992083394978,36.0832912216562,47.7151254573395,30.9805281966457,20.0072764845054,41.9537799087861,43.818085103156,38.7917477673475,48.8444224389645
2023-01-01,29.5338984334494,23.7374546696579,35.1503608568474,41.8992083394978,33.6643661971885,50.1340504818071,30.9805212379989,20.0072684285094,41.9537740474884,45.736170206312,37.600900168446,53.8714402441779
2024-01-01,28.1718200981424,22.3327972206306,34.1300420248191,41.8992083394978,31.8011493554481,51.9972673235475,30.9805142793521,20.0072603725125,41.9537681861918,47.6542553094679,36.4065100669122,58.9020005520237
2025-01-01,29.4224293237427,23.6520067408847,35.2517705274934,41.8992083394978,30.2244382340589,53.5739784449368,30.9805073207053,20.0072523165146,41.9537623248961,49.5723404126239,35.0806997641289,64.063981061119
2026-01-01,28.3495218834787,22.2653695939936,34.496879702555,41.8992083394978,28.8300894179069,54.9683272610887,30.9805003620585,20.0072442605157,41.9537564636014,51.4904255157799,33.5899684312666,69.3908826002933
2027-01-01,27.1316428155282,20.7990395409528,32.8991564001356,41.8992083394978,27.5647569848868,56.2336596941088,30.9804934034118,20.0072362045158,41.9537506023077,53.4085106189359,31.9254001177988,74.891621120073
2028-01-01,25.7695644802271,19.9355610534821,31.2828416573515,41.8992083394978,26.3967890646293,57.4016276143664,30.980486444765,20.0072281485149,41.9537447410151,55.3265957220919,30.0866118491122,80.5665795950715
2029-01-01,27.0201737058237,21.0088311490678,32.9538715719603,41.8992083394978,25.3055871388178,58.4928295401779,30.9804794861182,20.007220092513,41.9537388797234,57.2446808252478,28.0765350243646,86.4128266261311
2030-01-01,25.9472662655638,19.6406052153533,31.806414925068,41.8992083394978,24.2768601559995,59.5215565229961,30.9804725274714,20.0072120365101,41.9537330184327,59.1627659284038,25.8993928917068,92.4261389651008
2031-01-01,24.7293871976089,19.0987881431473,30.5831327512955,41.8992083394978,23.3002149004999,60.4982017784958,30.9804655688246,20.0072039805062,41.953727157143,61.0808510315598,23.5598346117802,98.6018674513394
2032-01-01,23.3673088623055,17.5915047847691,29.1427061623379,41.8992083394978,22.3678142770601,61.4306024019355,30.9804586101778,20.0071959245013,41.9537212958543,62.9989361347158,21.0625448979774,104.935327371454
2033-01-01,24.6179180879046,18.5888185114748,30.2279664503136,41.8992083394978,21.4735764933498,62.3248401856458,30.980451651531,20.0071878684954,41.9537154345666,64.9170212378718,18.4120665077017,111.421975968042
