"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",3.84943172550689,10.3849313489423,4.6467774123708,NA,NA,NA
"ETS",1.85670442212925,4.82549862598831,2.61327680688372,NA,127.488968630752,131.023130121796
"Linear Regression",3.90006863322864,10.4783941128503,4.71032675598383,0.4387492352594,148.497399060968,152.031560552011
"ARIMA(Auto)",1.66741123569883,4.4038220244723,2.39887447359444,NA,107.59921062088,109.781295527596
