"ds","Forecast","Lower95","Upper95"
4408520-08-15,0.974257097370161,0.466349984825307,1.48216420991501
4408521-08-15,0.974256195717907,0.466349032381232,1.48216335905458
4408522-08-15,0.974255294065653,0.466348079937111,1.48216250819419
4408523-08-15,0.974254392413399,0.466347127492945,1.48216165733385
4408524-08-14,0.974253490761145,0.466346175048732,1.48216080647356
4408525-08-14,0.97425258910889,0.466345222604473,1.48215995561331
4408526-08-14,0.974251687456636,0.466344270160168,1.4821591047531
4408527-08-14,0.974250785804383,0.466343317715817,1.48215825389295
4408528-08-13,0.974249884152128,0.46634236527142,1.48215740303284
4408529-08-13,0.974248982499874,0.466341412826977,1.48215655217277
4408530-08-13,0.97424808084762,0.466340460382489,1.48215570131275
4408531-08-13,0.974247179195366,0.466339507937954,1.48215485045278
