"ds","Residuals"
1998-01-01,0.132698048458155
1999-01-01,-0.0893991967900874
2000-01-01,-0.21149644203832
2001-01-01,-0.333380255081753
2002-01-01,-0.155477500329986
2003-01-01,-0.0775747455782191
2004-01-01,-0.299671990826452
2005-01-01,0.0784441961301145
2006-01-01,0.056346950881882
2007-01-01,0.334249705633649
2008-01-01,0.212152460385416
2009-01-01,0.0902686473419826
2010-01-01,0.0681714020937497
2011-01-01,0.0460741568455169
2012-01-01,0.323976911597284
2013-01-01,0.502093098553851
2014-01-01,0.179995853305618
2015-01-01,0.157898608057385
2016-01-01,0.0358013628091518
2017-01-01,-0.0860824502342816
2018-01-01,-0.208179695482514
2019-01-01,-0.230276940730748
2020-01-01,-0.25237418597898
2021-01-01,-0.274257999022414
