"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,0.597008133102174,0.524309650103186,0.669706616101163,0.485825397861892,0.708190868342457
2023,0.494112909115561,0.401296933565043,0.58692888466608,0.352163124058211,0.636062694172911
2024,0.391217685128948,0.287639073100942,0.494796297156953,0.232807867996644,0.549627502261252
2025,0.288322461142334,0.179190838297904,0.397454083986764,0.121420046834412,0.455224875450256
2026,0.185427237155721,0.0738733100602503,0.296981164251192,0.0148202281835798,0.356034246127862
2027,0.0825320131691076,-0.0298095864774183,0.194873612815634,-0.0892796370154402,0.254343663353655
2028,-0.0203632108175058,-0.133189103311868,0.0924626816768565,-0.192915522997442,0.15218910136243
2029,-0.123258434804119,-0.237559972241688,-0.00895689736655003,-0.298067551173924,0.051550681565686
2030,-0.226153658790732,-0.344145509858786,-0.108161807722679,-0.406606622822908,-0.0457006947585568
2031,-0.329048882777346,-0.453948505533607,-0.204149260021085,-0.520066371941649,-0.138031393613043
2032,-0.431944106763959,-0.567588757866015,-0.296299455661903,-0.639394698689657,-0.224493514838262
2033,-0.534839330750573,-0.68525364360082,-0.384425017900325,-0.764878171068751,-0.304800490432394
