"ds","Residuals"
1998-01-01,0.125550949847101
1999-01-01,-0.0894875516698908
2000-01-01,-0.192917646535611
2001-01-01,-0.336980214841117
2002-01-01,-0.163635369595468
2003-01-01,-0.0786738712963935
2004-01-01,-0.282103966355744
2005-01-01,0.0738334652479331
2006-01-01,0.0471783104575705
2007-01-01,0.332139808683807
2008-01-01,0.228711082697557
2009-01-01,0.0846996633779751
2010-01-01,0.058107351392543
2011-01-01,0.0431483656533564
2012-01-01,0.33983900152
2013-01-01,0.495958849701922
2014-01-01,0.169529323345537
2015-01-01,0.154718867732942
2016-01-01,0.0515359416269052
2017-01-01,-0.0922787403090481
2018-01-01,-0.218686685952856
2019-01-01,-0.23347797853887
2020-01-01,-0.236660864409056
2021-01-01,-0.280475546345007
