"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
1998-01-01,2.9,2.7744490501529,2.85997846858961,2.76730195154184,2.89700434932391
1999-01-01,2.6,2.68948755166989,2.79579333343279,2.68939919679009,2.8043478260878
2000-01-01,2.4,2.59291764653561,2.5033988477268,2.61149644203832,2.50434782608692
2001-01-01,2.2,2.53698021484112,2.30040092403851,2.53338025508175,2.30434782608692
2002-01-01,2.3,2.46363536959547,2.10029394566821,2.45547750032999,2.10434782608692
2003-01-01,2.3,2.37867387129639,2.19060993163243,2.37757474557822,2.20434782608692
2004-01-01,2,2.28210396635574,2.19354124598429,2.29967199082645,2.20434782608692
2005-01-01,2.3,2.22616653475207,1.90331720165744,2.22155580386989,1.90434782608692
2006-01-01,2.2,2.15282168954243,2.1842719253276,2.14365304911812,2.20434782608692
2007-01-01,2.4,2.06786019131619,2.09659170191162,2.06575029436635,2.10434782608692
2008-01-01,2.2,1.97128891730244,2.28731987845316,1.98784753961458,2.30434782608692
2009-01-01,2,1.91530033662202,2.09994537551921,1.90973135265802,2.10434782608692
2010-01-01,1.9,1.84189264860746,1.90034362735818,1.83182859790625,1.90434782608692
2011-01-01,1.8,1.75685163434664,1.7971229619024,1.75392584315448,1.80434782608692
2012-01-01,2,1.66016099848,1.69701910911624,1.67602308840272,1.70434782608692
2013-01-01,2.1,1.60404115029808,1.88734552379227,1.59790690144615,1.90434782608692
2014-01-01,1.7,1.53047067665446,1.99028750196031,1.52000414669438,2.00434782608692
2015-01-01,1.6,1.44528113226706,1.60652114487134,1.44210139194262,1.60434782608692
2016-01-01,1.4,1.34846405837309,1.49734488318632,1.36419863719085,1.50434782608692
2017-01-01,1.2,1.29227874030905,1.30027194193442,1.28608245023428,1.30434782608692
2018-01-01,1,1.21868668595286,1.10035656127916,1.20817969548251,1.10434782608692
2019-01-01,0.9,1.13347797853887,0.900349261639281,1.13027694073075,0.904347826086916
2020-01-01,0.8,1.03666086440906,0.797115482078116,1.05237418597898,0.804347826086916
2021-01-01,0.7,0.980475546345007,0.697011205994223,0.974257999022414,0.704347826086916
