"ds","Residuals"
1998-01-01,0.00299565067608812
1999-01-01,-0.204347826087795
2000-01-01,-0.104347826086916
2001-01-01,-0.104347826086916
2002-01-01,0.195652173913083
2003-01-01,0.0956521739130838
2004-01-01,-0.204347826086916
2005-01-01,0.395652173913084
2006-01-01,-0.00434782608691586
2007-01-01,0.295652173913084
2008-01-01,-0.104347826086916
2009-01-01,-0.104347826086916
2010-01-01,-0.00434782608691586
2011-01-01,-0.00434782608691631
2012-01-01,0.295652173913084
2013-01-01,0.195652173913084
2014-01-01,-0.304347826086916
2015-01-01,-0.00434782608691586
2016-01-01,-0.104347826086916
2017-01-01,-0.104347826086916
2018-01-01,-0.104347826086916
2019-01-01,-0.00434782608691586
2020-01-01,-0.00434782608691586
2021-01-01,-0.00434782608691631
