"ds","yhat","yhat_lower","yhat_upper","trend"
1998-01-01,2.7744490501529,2.49681108335146,3.03825308391466,-0.384894306027304
1999-01-01,2.68948755166989,2.40708978460352,2.95367667672331,-0.462544541173654
2000-01-01,2.59291764653561,2.31415289996793,2.86180524919544,-0.540194776255179
2001-01-01,2.53698021484112,2.27499056709775,2.82046867368344,-0.618057751618042
2002-01-01,2.46363536959547,2.19302328273547,2.74376466033697,-0.695707986584732
2003-01-01,2.37867387129639,2.09745714716831,2.66386400179695,-0.773358221547115
2004-01-01,2.28210396635574,2.02255294980556,2.55754430832844,-0.851008456435109
2005-01-01,2.22616653475207,1.93035732725168,2.49052628511271,-0.928871431707139
2006-01-01,2.15282168954243,1.87559322358437,2.44097064002456,-1.00652166663777
2007-01-01,2.06786019131619,1.80341085128481,2.33822420574157,-1.08417190152733
2008-01-01,1.97128891730244,1.69729945734042,2.25502489139576,-1.16182350548842
2009-01-01,1.91530033662202,1.65762890643693,2.18442110217092,-1.2397376298371
2010-01-01,1.84189264860746,1.55775203248806,2.1314197735598,-1.31745070757274
2011-01-01,1.75685163434664,1.47141005664263,2.03064220518166,-1.39518045849687
2012-01-01,1.66016099848,1.38180486636871,1.93845640110742,-1.47295142431088
2013-01-01,1.60404115029808,1.3338098840657,1.87863478076728,-1.55099681616102
2014-01-01,1.53047067665446,1.2582948351927,1.83327250305802,-1.62887267952574
2015-01-01,1.44528113226706,1.15818725844801,1.72147604183306,-1.70675096057645
2016-01-01,1.34846405837309,1.06834311840096,1.63509113347181,-1.7846483644178
2017-01-01,1.29227874030905,1.01420532078403,1.56753206970276,-1.86275922615007
2018-01-01,1.21868668595286,0.932772458251614,1.50633587564331,-1.94065667022734
2019-01-01,1.13347797853887,0.875736188424342,1.41272757717055,-2.01855411430461
2020-01-01,1.03666086440906,0.767970787971091,1.30017368910951,-2.09645155838188
2021-01-01,0.980475546345007,0.701682893864555,1.27300814327728,-2.17456242011416
2022-01-01,0.906883491988768,0.639046492290864,1.17861329894652,-2.25245986419143
2023-01-01,0.821674784574828,0.530412150297111,1.10061277599661,-2.3303573082687
2024-01-01,0.724857670444856,0.439566249257027,1.00065085109172,-2.40825475234597
2025-01-01,0.66867235238083,0.371583119737717,0.943283915704809,-2.48636561407825
2026-01-01,0.595080298024684,0.337895098538295,0.865756902663983,-2.56426305815551
2027-01-01,0.509871590610683,0.217059013076688,0.787363347720561,-2.64216050223278
2028-01-01,0.413054476480889,0.143010029907948,0.670473105459028,-2.72005794631005
2029-01-01,0.356869158416834,0.10086219179212,0.623146410004877,-2.79816880804233
2030-01-01,0.283277104060599,0.0147870847349122,0.567122281753785,-2.8760662521196
2031-01-01,0.198068396646586,-0.0868239624499099,0.466498457911592,-2.95396369619687
2032-01-01,0.101251282516673,-0.181858381706881,0.379068559054738,-3.03186114027414
2033-01-01,0.0450659644527929,-0.210357013210517,0.310000247091792,-3.10997200200642
