"ds","Residuals"
1998-01-01,0.0139936478018745
1999-01-01,-0.0700314043571979
2000-01-01,-0.0413033855235209
2001-01-01,-0.0436449677051276
2002-01-01,0.0950848116967994
2003-01-01,0.0499358953814519
2004-01-01,-0.0882323258514552
2005-01-01,0.208416546646625
2006-01-01,0.00720060285994179
2007-01-01,0.144715014283297
2008-01-01,-0.0381756304729041
2009-01-01,-0.0475942739674824
2010-01-01,-0.000180823801145072
2011-01-01,0.00160091332568373
2012-01-01,0.178537112078572
2013-01-01,0.112673844575339
2014-01-01,-0.145852044829904
2015-01-01,-0.0040591715161398
2016-01-01,-0.0650116644998804
2017-01-01,-0.0771161314034378
2018-01-01,-0.0912036741640339
2019-01-01,-0.000387917949358328
2020-01-01,0.00361869514108988
2021-01-01,0.00428801428165593
