"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
2004-01-01,3.4,3.43249022837052,3.40049556086437,3.63439655269182,4.00376729002939
2005-01-01,3,3.94348913420117,3.40000004956419,3.69975700198268,3.66552675714581
2006-01-01,3,3.83781413503802,3.00004000654893,3.764938870811,3.39517838663722
2007-01-01,2.9,3.75241510102164,3.00000000400131,3.83012073963932,3.39517838663722
2008-01-01,3.1,3.6874725224433,2.90001000163639,3.89530260846764,3.32759129401007
2009-01-01,4.7,4.19847142806459,3.09997999772834,3.9606630577585,3.46276547926437
2010-01-01,4.6,4.0927964286471,4.69983997182355,4.02584492658682,4.54415896129872
2011-01-01,5.3,4.00739739414378,4.60000998563056,4.09102679541514,4.47657186867157
2012-01-01,5.4,3.94245481523479,5.29992998954677,4.15620866424346,4.9496815170616
2013-01-01,5.2,4.45345372067739,5.39998999136182,4.22156911353432,5.01726860968875
2014-01-01,5,4.34777872122374,5.20002000227096,4.28675098236264,4.88209442443446
2015-01-01,4.8,4.26237968681478,5.00002000527254,4.35193285119096,4.74692023918016
2016-01-01,4.9,4.19743380496427,4.80002000527284,4.41711472001928,4.61174605392587
2017-01-01,5,4.70842939828397,4.89999000036486,4.48247516931014,4.67933314655301
2018-01-01,3.1,4.6027510957169,4.99998999736388,4.54765703813846,4.74692023918016
2019-01-01,3.1,4.51734875831885,3.10019003008344,4.61283890696678,3.46276547926437
2020-01-01,3.6,4.45240287643838,3.10000001900612,4.6780207757951,3.46276547926437
2021-01-01,5.3,4.9633984697837,3.59994999182193,4.74338122508596,3.8007009424001
