"ds","yhat","yhat_lower","yhat_upper","trend"
2004-01-01,3.43249022837052,2.26369610224313,4.59280330674028,1.15851621259682
2005-01-01,3.94348913420117,2.81754764849296,5.07618527541552,1.22239268057102
2006-01-01,3.83781413503802,2.74344198733685,5.05656193139484,1.28609462264464
2007-01-01,3.75241510102164,2.65434876563251,4.84245289789106,1.3497965646965
2008-01-01,3.6874725224433,2.54387066536885,4.83729470899491,1.41349850666945
2009-01-01,4.19847142806459,3.03540180756498,5.36352977708302,1.47737497443369
2010-01-01,4.0927964286471,2.98794132059673,5.17966678751687,1.54107691625373
2011-01-01,4.00739739414378,2.93750007858796,5.10606713913126,1.60477885781894
2012-01-01,3.94245481523479,2.71123742982102,5.08150064260274,1.66848079946097
2013-01-01,4.45345372067739,3.40516452916463,5.52110162907198,1.7323572670465
2014-01-01,4.34777872122374,3.1799935320808,5.46100506604795,1.79605920883098
2015-01-01,4.26237968681478,3.13223613376324,5.4066835782822,1.85976115048991
2016-01-01,4.19743380496427,3.10953552324033,5.26661114290171,1.92345978919055
2017-01-01,4.70842939828397,3.59234217085092,5.83392728127741,1.98733294465312
2018-01-01,4.6027510957169,3.47101997616915,5.72733343819949,2.05103158332358
2019-01-01,4.51734875831885,3.3839207693183,5.63040233101318,2.11473022199404
2020-01-01,4.45240287643838,3.33558101689039,5.66103518177329,2.17842886066451
2021-01-01,4.9633984697837,3.79667101093666,5.9657254678916,2.24230201615324
2022-01-01,4.85772016721682,3.60711839222368,5.99442668479197,2.30600065482371
2023-01-01,4.77231782981921,3.61549548729022,5.81058995235202,2.36969929349417
2024-01-01,4.70737194793837,3.58487070347823,5.93661595694949,2.43339793216463
2025-01-01,5.21836754128435,4.12874683149141,6.28673610269894,2.49727108765337
2026-01-01,5.1126892387168,3.98008338486127,6.28682617474522,2.56096972632383
2027-01-01,5.02728690131894,3.85588587901981,6.21637168374767,2.6246683649943
2028-01-01,4.96234101943875,3.79406014225624,6.03938938889172,2.68836700366476
2029-01-01,5.47333661278391,4.36679766767821,6.62511705341703,2.7522401591535
2030-01-01,5.36765831021805,4.27193536743724,6.47865184796106,2.81593879782396
2031-01-01,5.28225597281885,4.12358618273307,6.44813339833118,2.87963743649442
2032-01-01,5.21731009093881,4.15297222377712,6.30071893439739,2.94333607516488
2033-01-01,5.72830568428365,4.61847609725293,6.89088514838772,3.00720923065362
