"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2022-01-01,4.85772016721682,3.60711839222368,5.99442668479197,5.29982996718648,3.73721415725089,6.86244577712206,4.74338197950574,2.52555724351263,6.96120671549884,4.9496815170616,3.4779115349733,6.42145149914991
2023-01-01,4.77231782981921,3.61549548729022,5.81058995235202,5.29982996718648,3.09006800493381,7.50959192943914,4.74338273392552,2.52555762433453,6.9612078435165,4.71291143950801,2.93651402573748,6.48930885327854
2024-01-01,4.70737194793837,3.58487070347823,5.93661595694949,5.29982996718648,2.59348045351001,8.00617948086294,4.74338348834529,2.52555800515599,6.9612089715346,4.5528854278785,2.65352128796691,6.45224956779008
2025-01-01,5.21836754128435,4.12874683149141,6.28673610269894,5.29982996718648,2.17483277510215,8.42482715927081,4.74338424276507,2.52555838597699,6.96121009955315,4.44472849917093,2.49176747619537,6.39768952214649
2026-01-01,5.1126892387168,3.98008338486127,6.28682617474522,5.29982996718648,1.80599436560288,8.79366556877008,4.74338499718485,2.52555876679756,6.96121122757214,4.37162837558267,2.39466763691709,6.34858911424824
2027-01-01,5.02728690131894,3.85588587901981,6.21637168374767,5.29982996718648,1.47253758597869,9.12712234839426,4.74338575160463,2.52555914761767,6.96121235559158,4.32222212734251,2.33439469207183,6.31004956261319
2028-01-01,4.96234101943875,3.79406014225624,6.03938938889172,5.29982996718648,1.16589156275793,9.43376837161503,4.74338650602441,2.52555952843735,6.96121348361147,4.28882988058084,2.29605823856198,6.28160152259969
2029-01-01,5.47333661278391,4.36679766767821,6.62511705341703,5.29982996718648,0.880471813340227,9.71918812103273,4.74338726044419,2.52555990925657,6.9612146116318,4.26626103183174,2.27123494572302,6.26128711794045
2030-01-01,5.36765831021805,4.27193536743724,6.47865184796106,5.29982996718648,0.612399300784527,9.98726063358843,4.74338801486396,2.52556029007535,6.96121573965257,4.2510074031228,2.25495233078763,6.24706247545798
2031-01-01,5.28225597281885,4.12358618273307,6.44813339833118,5.29982996718648,0.358849698789979,10.240810235583,4.74338876928374,2.52556067089369,6.96121686767379,4.2406979189583,2.24417298062053,6.23722285729606
2032-01-01,5.21731009093881,4.15297222377712,6.30071893439739,5.29982996718648,0.117690855483509,10.4819690788894,4.74338952370352,2.52556105171158,6.96121799569546,4.23373003834665,2.23699050129944,6.23046957539386
2033-01-01,5.72830568428365,4.61847609725293,6.89088514838772,5.29982996718648,-0.112733707579828,10.7123936419528,4.7433902781233,2.52556143252903,6.96121912371757,4.22902065042351,2.23218309203578,6.22585820881124
