"ds","Residuals"
2004-01-01,-0.000495560864373967
2005-01-01,-0.400000049564194
2006-01-01,-4.00065489301049e-05
2007-01-01,-0.10000000400131
2008-01-01,0.199989998363607
2009-01-01,1.60002000227166
2010-01-01,-0.0998399718235543
2011-01-01,0.699990014369442
2012-01-01,0.100070010453227
2013-01-01,-0.199989991361816
2014-01-01,-0.200020002270959
2015-01-01,-0.200020005272541
2016-01-01,0.0999799947271596
2017-01-01,0.100009999635138
2018-01-01,-1.89998999736388
2019-01-01,-0.000190030083444537
2020-01-01,0.499999980993883
2021-01-01,1.70005000817806
