"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2022-01-01,1.727649379511,1.56026347460208,1.91356922477617,1.84285697007634,1.52127959245833,2.16443434769435,1.7662229191886,1.41044791048511,2.1219979278921,1.84285714285714,1.52943795096956,2.15627633474472
2023-01-01,1.73137779363135,1.54846832136922,1.91185837839964,1.84285697007634,1.52127959085037,2.16443434930231,1.76622283056107,1.41044777646787,2.12199788465426,1.84285714285714,1.52943795096956,2.15627633474472
2024-01-01,1.77315345355532,1.59135731592125,1.95563285311692,1.84285697007634,1.52127958924241,2.16443435091028,1.76622274193353,1.41044764245059,2.12199784141646,1.84285714285714,1.52943795096956,2.15627633474472
2025-01-01,1.72924052420529,1.54912223827628,1.9082913227133,1.84285697007634,1.52127958763444,2.16443435251824,1.76622265330599,1.41044750843326,2.12199779817871,1.84285714285714,1.52943795096956,2.15627633474472
2026-01-01,1.69490734273614,1.51937296824312,1.87122289446295,1.84285697007634,1.52127958602648,2.1644343541262,1.76622256467845,1.41044737441589,2.121997754941,1.84285714285714,1.52943795096956,2.15627633474472
2027-01-01,1.6986357568567,1.53222442787345,1.88283085945929,1.84285697007634,1.52127958441852,2.16443435573416,1.76622247605091,1.41044724039847,2.12199771170334,1.84285714285714,1.52943795096956,2.15627633474472
2028-01-01,1.7404114167801,1.55073302925044,1.90777604783632,1.84285697007634,1.52127958281056,2.16443435734213,1.76622238742337,1.410447106381,2.12199766846573,1.84285714285714,1.52943795096956,2.15627633474472
2029-01-01,1.69649848743011,1.5158523356932,1.86708395887809,1.84285697007634,1.52127958120259,2.16443435895009,1.76622229879583,1.41044697236349,2.12199762522817,1.84285714285714,1.52943795096956,2.15627633474472
2030-01-01,1.6621653059614,1.47905018864117,1.81907058339369,1.84285697007634,1.52127957959463,2.16443436055805,1.76622221016829,1.41044683834592,2.12199758199065,1.84285714285714,1.52943795096956,2.15627633474472
2031-01-01,1.66589372008188,1.47607615477541,1.84240148937059,1.84285697007634,1.52127957798667,2.16443436216601,1.76622212154075,1.41044670432832,2.12199753875318,1.84285714285714,1.52943795096956,2.15627633474472
2032-01-01,1.70766938000574,1.52921139814795,1.88337060390634,1.84285697007634,1.52127957637871,2.16443436377397,1.76622203291321,1.41044657031066,2.12199749551575,1.84285714285714,1.52943795096956,2.15627633474472
2033-01-01,1.66375645065508,1.4894763479797,1.84263811608434,1.84285697007634,1.52127957477074,2.16443436538194,1.76622194428567,1.41044643629296,2.12199745227837,1.84285714285714,1.52943795096956,2.15627633474472
