"ds","yhat","yhat_lower","yhat_upper","trend"
2001-01-01,1.92605325724211,1.73722058118418,2.10588064216527,1.88642237769594
2002-01-01,1.8916711697466,1.70535528494379,2.06852183633956,1.87819356515121
2003-01-01,1.89535067811371,1.71711316876018,2.08824572139887,1.86996475287989
2004-01-01,1.9370774324641,1.74120804385759,2.11505294651927,1.86173594078848
2005-01-01,1.89311546333793,1.70004408195519,2.07364260232458,1.85348458379195
2006-01-01,1.85873337674521,1.6803604884521,2.05514431469116,1.84525577214981
2007-01-01,1.86243284841232,1.68333050009256,2.04822758813026,1.83704692317853
2008-01-01,1.90417956631633,1.72819929669275,2.08101973843935,1.82883807464069
2009-01-01,1.86023761631956,1.68398340726599,2.030899023417,1.82060673677324
2010-01-01,1.82587549434404,1.64908670358016,2.00738489472746,1.81239788974865
2011-01-01,1.82960390713862,1.65514929071071,2.00172421822675,1.80421798190483
2012-01-01,1.87137956582715,1.6904674154509,2.05077246718932,1.79603807415161
2013-01-01,1.82746663588991,1.63395525444389,2.01305035447972,1.7878357563435
2014-01-01,1.79313345424872,1.61034174948671,1.98839152100064,1.77965584965337
2015-01-01,1.79686186754694,1.61890271912203,1.97896084735613,1.77147594231313
2016-01-01,1.83863752710472,1.66650886922429,2.02382650548545,1.76329603542925
2017-01-01,1.79472459775479,1.62199959729555,1.97626202567253,1.75509371820845
2018-01-01,1.76039141628584,1.57916281160455,1.94217197714139,1.74691381169044
2019-01-01,1.76411983040634,1.59158508325069,1.95823978012905,1.73873390517243
2020-01-01,1.80589549032974,1.63284727055159,2.00109670905177,1.73055399865442
2021-01-01,1.76198256097976,1.58123213550603,1.94165956776706,1.72235168143362
2022-01-01,1.727649379511,1.56026347460208,1.91356922477617,1.71417177491561
2023-01-01,1.73137779363135,1.54846832136922,1.91185837839964,1.7059918683976
2024-01-01,1.77315345355532,1.59135731592125,1.95563285311692,1.69781196187959
2025-01-01,1.72924052420529,1.54912223827628,1.9082913227133,1.68960964465879
2026-01-01,1.69490734273614,1.51937296824312,1.87122289446295,1.68142973814078
2027-01-01,1.6986357568567,1.53222442787345,1.88283085945929,1.67324983162277
2028-01-01,1.7404114167801,1.55073302925044,1.90777604783632,1.66506992510476
2029-01-01,1.69649848743011,1.5158523356932,1.86708395887809,1.65686760788396
2030-01-01,1.6621653059614,1.47905018864117,1.81907058339369,1.64868770136595
2031-01-01,1.66589372008188,1.47607615477541,1.84240148937059,1.64050779484793
2032-01-01,1.70766938000574,1.52921139814795,1.88337060390634,1.63232788832992
2033-01-01,1.66375645065508,1.4894763479797,1.84263811608434,1.62412557110912
