"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2023,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2024,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2025,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2026,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2027,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2028,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2029,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2030,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2031,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2032,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
2033,1.84285714285714,1.63792334856117,2.04779093715312,1.52943795096956,2.15627633474472
