"ds","Residuals"
2001-01-01,0.180523707267102
2002-01-01,-0.0118188732948973
2003-01-01,0.0958385461431063
2004-01-01,0.20349596558111
2005-01-01,-0.18882563574955
2006-01-01,-0.0811682163115459
2007-01-01,-0.173510796873542
2008-01-01,-0.0658533774355388
2009-01-01,-0.158174978766198
2010-01-01,-0.150517559328195
2011-01-01,-0.242860139890191
2012-01-01,0.264797279547813
2013-01-01,0.172475678217153
2014-01-01,0.0801330976551565
2015-01-01,-0.0122094829068398
2016-01-01,0.0954479365311636
2017-01-01,0.203126335200504
2018-01-01,-0.189216245361492
2019-01-01,0.0184411740765115
2020-01-01,-0.073901406485485
2021-01-01,0.0337769921838556
