"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
2001-01-01,2.1,1.92605325724211,1.84285702877341,1.9194762927329,1.84285714285714
2002-01-01,1.9,1.8916711697466,1.84288274367508,1.9118188732949,1.84285714285714
2003-01-01,2,1.89535067811371,1.84288845553499,1.90416145385689,1.84285714285714
2004-01-01,2.1,1.9370774324641,1.84290416705881,1.89650403441889,1.84285714285714
2005-01-01,1.7,1.89311546333793,1.84292987724653,1.88882563574955,1.84285714285714
2006-01-01,1.8,1.85873337674521,1.84291558392278,1.88116821631155,1.84285714285714
2007-01-01,1.7,1.86243284841232,1.84291129226349,1.87351079687354,1.84285714285714
2008-01-01,1.8,1.90417956631633,1.84289700079828,1.86585337743554,1.84285714285714
2009-01-01,1.7,1.86023761631956,1.84289271099735,1.8581749787662,1.84285714285714
2010-01-01,1.7,1.82587549434404,1.84287842139031,1.85051755932819,1.84285714285714
2011-01-01,1.6,1.82960390713862,1.84286413321227,1.84286013989019,1.84285714285714
2012-01-01,2.1,1.87137956582715,1.84283984622797,1.83520272045219,1.84285714285714
2013-01-01,2,1.82746663588991,1.84286556284793,1.82752432178285,1.84285714285714
2014-01-01,1.9,1.79313345424872,1.84288127666107,1.81986690234484,1.84285714285714
2015-01-01,1.8,1.79686186754694,1.84288698866769,1.81220948290684,1.84285714285714
2016-01-01,1.9,1.83863752710472,1.842882699868,1.80455206346884,1.84285714285714
2017-01-01,2,1.79472459775479,1.84288841173229,1.7968736647995,1.84285714285714
2018-01-01,1.6,1.76039141628584,1.84290412326049,1.78921624536149,1.84285714285714
2019-01-01,1.8,1.76411983040634,1.84287983227709,1.78155882592349,1.84285714285714
2020-01-01,1.7,1.80589549032974,1.84287554419306,1.77390140648548,1.84285714285714
2021-01-01,1.8,1.76198256097976,1.84286125630274,1.76622300781614,1.84285714285714
