"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
2006-01-01,3.4,2.54950958490536,2.88342117626017,2.47079863459747,2.88333333333333
2007-01-01,2.8,2.44685335274525,2.8834728502899,2.52969528054857,2.88333333333333
2008-01-01,1.5,2.33748321724044,2.88346450039566,2.58859192649967,2.88333333333333
2009-01-01,2.15,2.89608087673971,2.88332611070091,2.64764993312462,2.88333333333333
2010-01-01,2.8,2.80034094245659,2.88325275516734,2.70654657907572,2.88333333333333
2011-01-01,2.6,2.69768470999187,2.88324442728949,2.76544322502682,2.88333333333333
2012-01-01,2.4,2.58831457412868,2.88321609399303,2.82433987097793,2.88333333333333
2013-01-01,3.2,3.14691223387654,2.88316775727913,2.88339787760287,2.88333333333333
2014-01-01,3.8,3.05117229984171,2.88319945040703,2.94229452355397,2.88333333333333
2015-01-01,2.5,2.94851606804004,2.88329115911958,3.00119116950508,2.88333333333333
2016-01-01,3.3,2.83914593263978,2.88325281802266,3.06008781545618,2.88333333333333
2017-01-01,3.8,3.39774359229259,2.88329450576765,3.11914582208112,2.88333333333333
2018-01-01,2.3,3.30200365783344,2.8833862049717,3.17804246803223,2.88333333333333
2019-01-01,3.1,3.1993474253678,2.88332784811556,3.23693911398333,2.88333333333333
2020-01-01,3.6,3.08997728960114,2.88334952210354,3.29583575993443,2.88333333333333
