"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2021,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2022,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2023,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2024,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2025,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2026,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2027,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2028,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2029,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2030,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2031,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
2032,2.88333333333333,2.04098848026099,3.72567818640567,1.5950780504623,4.17158861620436
