"ds","yhat","yhat_lower","yhat_upper","trend"
2006-01-01,2.54950958490536,1.84020797253233,3.24156639909247,0.0216084820052528
2007-01-01,2.44685335274525,1.77134908435495,3.13995037407181,0.0842734003572526
2008-01-01,2.33748321724044,1.67768697229421,3.05217384984398,0.146938318666679
2009-01-01,2.89608087673971,2.20706755880478,3.54011329376759,0.209774921333606
2010-01-01,2.80034094245659,2.12415841498316,3.49818901085862,0.272439839556498
2011-01-01,2.69768470999187,2.07649051469214,3.41063820894456,0.335104757604175
2012-01-01,2.58831457412868,1.92559049491837,3.26547008513601,0.397769675554892
2013-01-01,3.14691223387654,2.47816231117538,3.8062179376641,0.460606278470505
2014-01-01,3.05117229984171,2.36080385711442,3.76598051078955,0.523271196942236
2015-01-01,2.94851606804004,2.23765012592077,3.63386237007098,0.585936115652339
2016-01-01,2.83914593263978,2.1832177635496,3.62293694509303,0.648601034066036
2017-01-01,3.39774359229259,2.661510727004,4.17581771771991,0.711437636886541
2018-01-01,3.30200365783344,2.60586439060563,4.00537378400026,0.774102554933399
2019-01-01,3.1993474253678,2.49943593624819,3.88094616076456,0.836767472980256
2020-01-01,3.08997728960114,2.38514112069153,3.74344485249528,0.899432391027114
2021-01-01,3.64857494918672,2.96335953355769,4.30642419414706,0.962268993780949
2022-01-01,3.55283501472764,2.82922533267834,4.19128217126429,1.02493391182781
2023-01-01,3.45017878226258,2.75950520507159,4.12817278931258,1.08759882987466
2024-01-01,3.34080864649508,2.6772897326572,3.99950313151676,1.15026374792152
2025-01-01,3.89940630608143,3.18325869364338,4.55435769166425,1.21310035067536
2026-01-01,3.80366637162191,3.13826483337239,4.50906869565109,1.27576526872221
2027-01-01,3.70101013915641,3.00770916776385,4.38442259577107,1.33843018676907
2028-01-01,3.59164000339007,2.85068749760402,4.26240286519682,1.40109510481593
2029-01-01,4.15023766297548,3.44633295500466,4.88041750702454,1.46393170756976
2030-01-01,4.05449772851744,3.38189341989241,4.79588901030645,1.52659662561662
2031-01-01,3.9518414960506,3.31235332039361,4.62894583997546,1.58926154366348
2032-01-01,3.84247136028402,3.17976314676573,4.53764041484572,1.65192646171034
