"ds","Residuals"
1998-01-01,0.00488260625434962
1999-01-01,-0.117391304348365
2000-01-01,-0.0173913043478606
2001-01-01,-0.117391304347861
2002-01-01,-0.0173913043478606
2003-01-01,-0.11739130434786
2004-01-01,0.182608695652139
2005-01-01,-0.11739130434786
2006-01-01,-0.0173913043478606
2007-01-01,0.082608695652139
2008-01-01,0.082608695652139
2009-01-01,-0.0173913043478606
2010-01-01,0.0826086956521399
2011-01-01,0.182608695652139
2012-01-01,-0.0173913043478606
2013-01-01,-0.0173913043478606
2014-01-01,0.082608695652139
2015-01-01,-0.117391304347861
2016-01-01,-0.11739130434786
2017-01-01,-0.11739130434786
2018-01-01,0.082608695652139
2019-01-01,-0.0173913043478606
2020-01-01,0.082608695652139
2021-01-01,0.082608695652139
