"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2022-01-01,2.78068441148509,2.62061797502756,2.94403057489252,2.81479363256552,2.61260044027444,3.0169868248566,2.85358876612953,2.56159771559999,3.14557981665907,2.81739130434786,2.62450776334974,3.01027484534598
2023-01-01,2.72086121330888,2.56020424241774,2.87600493891858,2.73215559323832,2.4504776942483,3.01383349222835,2.85358789816526,2.56159681843598,3.14557897789455,2.73478260869572,2.46200408905763,3.00756112833381
2024-01-01,2.64727814541886,2.48184691058735,2.79509537024337,2.64951755391113,2.30628188923259,2.99275321858968,2.853587030201,2.56159592127194,3.14557813913005,2.65217391304358,2.31808982009104,2.98625800599612
2025-01-01,2.52734231602367,2.36477541326166,2.68650855274194,2.56687951458394,2.17154808905573,2.96221094011216,2.85358616223673,2.56159502410788,3.14557730036558,2.56956521739144,2.1837981353952,2.95533229938768
2026-01-01,2.48127270032848,2.31914864735294,2.63867640338061,2.48424147525675,2.04291270539734,2.92557024511617,2.85358529427247,2.56159412694379,3.14557646160114,2.4869565217393,2.05565581232664,2.91825723115197
2027-01-01,2.42144950215217,2.25672129831918,2.57629479637622,2.40160343592956,1.91863018241409,2.88457668944504,2.8535844263082,2.56159322977968,3.14557562283672,2.40434782608716,1.93188157086057,2.87681408131376
2028-01-01,2.34786643426238,2.18877791131505,2.51508988651126,2.31896539660237,1.7976562960249,2.84027449717985,2.85358355834394,2.56159233261554,3.14557478407233,2.32173913043503,1.81141724895647,2.83206101191358
2029-01-01,2.22793060486711,2.06732078918925,2.38149237186107,2.23632735727518,1.67930749396329,2.79334722058708,2.85358269037967,2.56159143545137,3.14557394530797,2.23913043478289,1.69357339550671,2.78468747405906
2030-01-01,2.18186098917174,2.0278637453223,2.34035842664069,2.15368931794799,1.56310738987511,2.74427124602087,2.8535818224154,2.56159053828718,3.14557310654363,2.15652173913075,1.57787111613639,2.7351723621251
2031-01-01,2.12203779099562,1.95571012055916,2.27110433784582,2.0710512786208,1.4487082573782,2.6933942998634,2.85358095445114,2.56158964112296,3.14557226777932,2.07391304347861,1.46396173076608,2.68386435619113
2032-01-01,2.04845472310553,1.8994273113357,2.20524565915648,1.98841323929361,1.33584707719899,2.64097940138824,2.85358008648687,2.56158874395871,3.14557142901503,1.99130434782647,1.35158201410057,2.63102668155236
2033-01-01,1.92851889371054,1.76643107109331,2.08712651420265,1.90577519996642,1.22431918961172,2.58723121032112,2.85357921852261,2.56158784679444,3.14557059025077,1.90869565217433,1.24052746626925,2.5768638380794
