"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",0.105550112579184,2.86363668327624,0.123638173137757,NA,NA,NA
"ETS",0.0787129312271402,2.17295923083854,0.094173305619689,NA,-27.1323969065095,-21.2421277547698
"Linear Regression",0.106937198272244,2.87735264760517,0.12533871398352,0.944985159919306,-25.5742541403649,-22.0400926493211
"ARIMA(Auto)",0.0788266303330897,2.17621485821169,0.0942221042061482,NA,-38.4091516876405,-36.1381632557822
