"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
1998-01-01,4.8,4.57788299354567,4.79657516971412,4.5796409703182,4.79511739374565
1999-01-01,4.6,4.51771679414985,4.71725878237533,4.50464885774567,4.71739130434836
2000-01-01,4.5,4.4437907250761,4.52088816069262,4.42965674517313,4.51739130434786
2001-01-01,4.3,4.32351095494809,4.41797850665345,4.35445917475792,4.41739130434786
2002-01-01,4.2,4.2770994074638,4.22089598857971,4.27946706218538,4.21739130434786
2003-01-01,4,4.21697482294262,4.11796485537407,4.20447494961284,4.11739130434786
2004-01-01,4.1,4.14319189713821,3.92088169062483,4.1294828370403,3.91739130434786
2005-01-01,3.9,4.02320487762496,4.01193640742073,4.0542852666251,4.01739130434786
2006-01-01,3.8,3.97723793802077,3.82070652656503,3.97929315405256,3.81739130434786
2007-01-01,3.8,3.91756201079671,3.71795199023089,3.90430104148002,3.71739130434786
2008-01-01,3.8,3.84413004400251,3.71486002289464,3.82930892890748,3.71739130434786
2009-01-01,3.7,3.7243457295609,3.71477525019979,3.75411135849227,3.71739130434786
2010-01-01,3.7,3.67842721486312,3.61778828098693,3.67911924591973,3.61739130434786
2011-01-01,3.8,3.6187551178212,3.61487034132597,3.60412713334719,3.61739130434786
2012-01-01,3.7,3.54532315122707,3.71178375217022,3.52913502077465,3.71739130434786
2013-01-01,3.6,3.42553869835652,3.6177235812851,3.45393745035945,3.61739130434786
2014-01-01,3.6,3.37950783293323,3.517901017489,3.3789453377869,3.51739130434786
2015-01-01,3.4,3.31968463519689,3.51489751479544,3.30395322521436,3.51739130434786
2016-01-01,3.2,3.24610156773224,3.32082953930566,3.22896111264182,3.31739130434786
2017-01-01,3,3.1261657383369,3.12099642944193,3.15376354222662,3.11739130434786
2018-01-01,3,3.08009612264169,2.9209893649824,3.07877142965408,2.91739130434786
2019-01-01,2.9,3.02027292446539,2.9149629209868,3.00377931708154,2.91739130434786
2020-01-01,2.9,2.94668985657565,2.81779666886455,2.928787204509,2.81739130434786
2021-01-01,2.9,2.82675402718034,2.81487331928117,2.85358963409379,2.81739130434786
