"ds","Residuals"
1998-01-01,0.2203590296818
1999-01-01,0.0953511422543304
2000-01-01,0.0703432548268722
2001-01-01,-0.0544591747579231
2002-01-01,-0.0794670621853824
2003-01-01,-0.204474949612842
2004-01-01,-0.0294828370403022
2005-01-01,-0.154285266625097
2006-01-01,-0.179293154052557
2007-01-01,-0.104301041480016
2008-01-01,-0.029308928907476
2009-01-01,-0.0541113584922708
2010-01-01,0.0208807540802696
2011-01-01,0.19587286665281
2012-01-01,0.17086497922535
2013-01-01,0.146062549640555
2014-01-01,0.221054662213095
2015-01-01,0.0960467747856356
2016-01-01,-0.0289611126418238
2017-01-01,-0.153763542226619
2018-01-01,-0.0787714296540786
2019-01-01,-0.103779317081539
2020-01-01,-0.0287872045089981
2021-01-01,0.0464103659062069
