"ds","yhat","yhat_lower","yhat_upper","trend"
1998-01-01,4.57788299354567,4.41353704422392,4.72533880745525,-0.382037742517049
1999-01-01,4.51771679414985,4.34807872071731,4.67081735159097,-0.457182437488994
2000-01-01,4.4437907250761,4.27888903294748,4.58841929893697,-0.532327132425138
2001-01-01,4.32351095494809,4.17385408744431,4.48183045710712,-0.607677703057526
2002-01-01,4.2770994074638,4.12067959464539,4.42886861695301,-0.682821328598924
2003-01-01,4.21697482294262,4.063498662575,4.37021274813712,-0.757924408696207
2004-01-01,4.14319189713821,3.98632002288335,4.29032794331547,-0.832925960363042
2005-01-01,4.02320487762496,3.86531480578332,4.1792572877228,-0.907983780380735
2006-01-01,3.97723793802077,3.81635755981741,4.12661898777472,-0.982682798041942
2007-01-01,3.91756201079671,3.7557018447011,4.07945462647506,-1.05733722084209
2008-01-01,3.84413004400251,3.69376950624968,4.00835350516908,-1.13198781349871
2009-01-01,3.7243457295609,3.57354356857211,3.88561762946819,-1.20684292844469
2010-01-01,3.67842721486312,3.50212179577917,3.84195866333908,-1.28149352119959
2011-01-01,3.6187551178212,3.46289626550129,3.76867203456297,-1.3561441138177
2012-01-01,3.54532315122707,3.3835251472671,3.70803492886309,-1.4307947062742
2013-01-01,3.42553869835652,3.26156832893115,3.58519265748134,-1.50564995964909
2014-01-01,3.37950783293323,3.22453758550577,3.54188822726017,-1.58041290312954
2015-01-01,3.31968463519689,3.16261399458121,3.47772346840119,-1.65521459644198
2016-01-01,3.24610156773224,3.09858723858424,3.41028343242787,-1.73001628976909
2017-01-01,3.1261657383369,2.96878206160386,3.27888978674665,-1.80502291966869
2018-01-01,3.08009612264169,2.93249619168618,3.24080763042397,-1.87982461342103
2019-01-01,3.02027292446539,2.84951268041982,3.15889851879152,-1.95462630717337
2020-01-01,2.94668985657565,2.77448689986963,3.10213466562258,-2.02942800092571
2021-01-01,2.82675402718034,2.67672969121737,2.99815651416673,-2.10443463082531
2022-01-01,2.78068441148509,2.62061797502756,2.94403057489252,-2.17923632457765
2023-01-01,2.72086121330888,2.56020424241774,2.87600493891858,-2.25403801832999
2024-01-01,2.64727814541886,2.48184691058735,2.79509537024337,-2.32883971208233
2025-01-01,2.52734231602367,2.36477541326166,2.68650855274194,-2.40384634198193
2026-01-01,2.48127270032848,2.31914864735294,2.63867640338061,-2.47864803573427
2027-01-01,2.42144950215217,2.25672129831918,2.57629479637622,-2.55344972948661
2028-01-01,2.34786643426238,2.18877791131505,2.51508988651126,-2.62825142323895
2029-01-01,2.22793060486711,2.06732078918925,2.38149237186107,-2.70325805313856
2030-01-01,2.18186098917174,2.0278637453223,2.34035842664069,-2.77805974689089
2031-01-01,2.12203779099562,1.95571012055916,2.27110433784582,-2.85286144064323
2032-01-01,2.04845472310553,1.8994273113357,2.20524565915648,-2.92766313439557
2033-01-01,1.92851889371054,1.76643107109331,2.08712651420265,-3.00266976429518
