"ds","Residuals"
1998-01-01,0.22211700645433
1999-01-01,0.082283205850147
2000-01-01,0.0562092749238996
2001-01-01,-0.0235109549480912
2002-01-01,-0.077099407463801
2003-01-01,-0.216974822942617
2004-01-01,-0.0431918971382128
2005-01-01,-0.123204877624956
2006-01-01,-0.177237938020774
2007-01-01,-0.117562010796705
2008-01-01,-0.0441300440025074
2009-01-01,-0.0243457295608955
2010-01-01,0.021572785136879
2011-01-01,0.181244882178795
2012-01-01,0.154676848772927
2013-01-01,0.174461301643481
2014-01-01,0.220492167066765
2015-01-01,0.0803153648031079
2016-01-01,-0.0461015677322383
2017-01-01,-0.126165738336901
2018-01-01,-0.0800961226416863
2019-01-01,-0.120272924465392
2020-01-01,-0.0466898565756519
2021-01-01,0.0732459728196648
