"ds","Residuals"
1998-01-01,0.00342483028587903
1999-01-01,-0.117258782375328
2000-01-01,-0.0208881606926168
2001-01-01,-0.117978506653452
2002-01-01,-0.0208959885797082
2003-01-01,-0.117964855374066
2004-01-01,0.179118309375168
2005-01-01,-0.11193640742073
2006-01-01,-0.020706526565029
2007-01-01,0.0820480097691094
2008-01-01,0.0851399771053618
2009-01-01,-0.014775250199794
2010-01-01,0.0822117190130713
2011-01-01,0.18512965867403
2012-01-01,-0.0117837521702215
2013-01-01,-0.017723581285098
2014-01-01,0.0820989825109955
2015-01-01,-0.114897514795445
2016-01-01,-0.12082953930566
2017-01-01,-0.120996429441928
2018-01-01,0.0790106350175965
2019-01-01,-0.0149629209868007
2020-01-01,0.0822033311354491
2021-01-01,0.0851266807188273
