"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,1.62484009987895,1.25735252000509,1.99232767975282,1.06281634626395,2.18686385349395
2023,1.62484009987895,1.2314511479538,2.01822905180411,1.02320361608939,2.22647658366852
2024,1.62484009987895,1.2071528800218,2.0425273197361,0.986042622092888,2.26363757766502
2025,1.62484009987895,1.18419244044205,2.06548775931585,0.950927659998956,2.29875253975895
2026,1.62484009987895,1.16237052693124,2.08730967282667,0.917553923268535,2.33212627648937
2027,1.62484009987895,1.14153289732796,2.10814730242994,0.885685518872141,2.36399468088577
2028,1.62484009987895,1.12155727862148,2.12812292113643,0.855135446377022,2.39454475338089
2029,1.62484009987895,1.10234479434204,2.14733540541586,0.825752487272112,2.4239277124858
2030,1.62484009987895,1.08381413890912,2.16586606084879,0.79741229540241,2.4522679043555
2031,1.62484009987895,1.0658974940789,2.18378270567901,0.770011151714442,2.47966904804347
2032,1.62484009987895,1.0485375901553,2.2011426096026,0.743461469766323,2.50621872999159
2033,1.62484009987895,1.03168554257622,2.21799465718169,0.717688487071927,2.53199171268598
