"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
1998-01-01,2,1.72807400076861,1.85079091810312,1.69164744090437,1.58916083002456
1999-01-01,1.9,1.64538811023753,1.90779042152256,1.6786141732187,1.71777057824145
2000-01-01,1.6,1.56504729314125,1.9048143951804,1.66558090553302,1.68189287633234
2001-01-01,1.9,1.75993526123963,1.78837195790043,1.65251193026464,1.574259770605
2002-01-01,1.6,1.67498668249257,1.83101509253051,1.63947866257897,1.68189287633234
2003-01-01,1.7,1.59230079203294,1.74276479711126,1.62644539489329,1.574259770605
2004-01-01,1.6,1.5119599749697,1.72642817625557,1.61341212720761,1.61013747251411
2005-01-01,1.5,1.7068479431227,1.67813122828713,1.60034315193924,1.574259770605
2006-01-01,1.6,1.62189936444135,1.61008314819185,1.58730988425356,1.53838206869588
2007-01-01,1.7,1.53921347397087,1.60623127515213,1.57427661656788,1.574259770605
2008-01-01,1.3,1.45887265695783,1.64205195499719,1.56124334888221,1.61013747251411
2009-01-01,1.3,1.6537606251656,1.5113843620422,1.54817437361383,1.46662666487765
2010-01-01,1.4,1.56881207033556,1.43063322066485,1.53514110592815,1.46662666487765
2011-01-01,1.3,1.48612620379571,1.41893099487647,1.52210783824248,1.50250436678677
2012-01-01,1.1,1.40578543633494,1.37349805230382,1.5090745705568,1.46662666487765
2013-01-01,1.3,1.60067347497752,1.26901880097865,1.49600559528842,1.39487126105943
2014-01-01,1,1.51572496668923,1.28085395831027,1.48297232760275,1.46662666487765
2015-01-01,1.2,1.43303914662848,1.17356467032891,1.46993905991707,1.35899355915031
2016-01-01,1.7,1.35269839999497,1.18366325578246,1.45690579223139,1.43074896296854
2017-01-01,2.1,1.54758643864268,1.38090954698308,1.44383681696302,1.61013747251411
2018-01-01,1.4,1.46263793029275,1.65560997549956,1.43080354927734,1.75364828015056
2019-01-01,1.7,1.37995211018227,1.55796416542348,1.41777028159166,1.50250436678677
2020-01-01,1.2,1.29961136349268,1.61222340980528,1.40473701390599,1.61013747251411
2021-01-01,1.9,1.49449940214016,1.45474955259726,1.39166803863761,1.43074896296854
