"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",0.223838441975263,15.2125569102915,0.264410091550792,NA,NA,NA
"ETS",0.210872876847059,14.0054831519558,0.274544216709291,NA,20.2264303237176,23.7605918147614
"Linear Regression",0.223251135872823,15.1604203940352,0.275584096995546,0.0969191073140837,12.2436522474216,15.7778137384654
"ARIMA(Auto)",0.229281229727285,15.5921184388387,0.272589851648344,NA,11.8570671241254,15.3912286151693
