"ds","Forecast","Lower95","Upper95"
4408520-08-15,1.3916678877896,0.749662816622646,2.03367295895656
4408521-08-15,1.3916677369416,0.749662601572731,2.03367287231047
4408522-08-15,1.39166758609359,0.749662386522757,2.03367278566443
4408523-08-15,1.39166743524559,0.749662171472726,2.03367269901845
4408524-08-14,1.39166728439758,0.749661956422636,2.03367261237253
4408525-08-14,1.39166713354958,0.749661741372489,2.03367252572666
4408526-08-14,1.39166698270157,0.749661526322283,2.03367243908086
4408527-08-14,1.39166683185356,0.749661311272019,2.03367235243511
4408528-08-13,1.39166668100556,0.749661096221697,2.03367226578942
4408529-08-13,1.39166653015755,0.749660881171316,2.03367217914379
4408530-08-13,1.39166637930955,0.749660666120878,2.03367209249822
4408531-08-13,1.39166622846154,0.749660451070381,2.0336720058527
