"ds","Residuals"
1998-01-01,0.410839169975437
1999-01-01,0.182229421758551
2000-01-01,-0.081892876332335
2001-01-01,0.325740229395005
2002-01-01,-0.081892876332335
2003-01-01,0.125740229395005
2004-01-01,-0.0101374725141082
2005-01-01,-0.0742597706049949
2006-01-01,0.0616179313041186
2007-01-01,0.125740229395005
2008-01-01,-0.310137472514108
2009-01-01,-0.166626664877655
2010-01-01,-0.0666266648776547
2011-01-01,-0.202504366786768
2012-01-01,-0.366626664877655
2013-01-01,-0.0948712610594278
2014-01-01,-0.466626664877655
2015-01-01,-0.158993559150314
2016-01-01,0.269251037031459
2017-01-01,0.489862527485892
2018-01-01,-0.353648280150562
2019-01-01,0.197495633213232
2020-01-01,-0.410137472514108
2021-01-01,0.469251037031459
