"","k","m","delta.1","delta.2","delta.3","delta.4","delta.5","delta.6","delta.7","delta.8","delta.9","delta.10","delta.11","delta.12","delta.13","delta.14","delta.15","delta.16","delta.17","delta.18","sigma_obs","beta.1","beta.2","beta.3","beta.4","beta.5","beta.6","beta.7","beta.8","beta.9","beta.10","beta.11","beta.12","beta.13","beta.14","beta.15","beta.16","beta.17","beta.18","beta.19","beta.20","trend"
"1",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.0949254873841499
"2",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.0886098942782412
"3",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.0822943011793206
"4",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.0759614051092328
"5",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.0696458120146135
"6",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.0633302189427945
"7",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.0570146258594551
"8",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.0506817298155419
"9",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.044366136752092
"10",-0.145362459404765,0.0949254873841499,1.60840618013656e-10,5.4226552290857e-10,-4.43265768364297e-10,5.24784407093128e-10,-2.65160067478153e-10,7.84440156495819e-10,-3.26654580722186e-10,-3.11794881649371e-10,4.04634766405154e-10,8.30160830271082e-10,2.60495286474464e-07,5.56238449762245e-10,2.81219887881892e-07,2.27599859319553e-07,7.3400093553542e-10,-1.36156440035758e-10,7.39423343830494e-11,-6.16048420620154e-10,0.125547975005196,0.0217534460063538,0.380641952682936,0.0433718598737593,0.35602100761781,0.0647202218192653,0.314984675245774,0.0856635374606602,0.257530819677944,0.106066848831221,0.183656451313293,0.125795248934172,0.0933577266804115,0.144713892449334,-0.0133700505640349,0.162688007991377,-0.136532429601894,0.179582911995988,-0.276135811264259,0.195264022839845,-0.432187447853689,0.0380505436750955
