"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
1998-01-01,8.7,8.95078780249228,9.14797294436676,8.91131177930944,8.6913000066117
1999-01-01,8.1,8.64770100740749,8.83186302992726,8.62843167363275,8.58666877348563
2000-01-01,8.2,8.27852949244936,8.51565099287952,8.34555156795603,8.45092381225782
2001-01-01,7.9,8.0548153839204,8.19944906717496,8.06189644829116,8.14151269795402
2002-01-01,7.1,7.81782413042283,7.8832186643996,7.77901634261444,8.07546190613794
2003-01-01,9.9,7.51473733529274,7.56686087978103,7.49613623693773,7.56789841636784
2004-01-01,6.5,7.14556579495034,7.25105098542321,7.21325613126101,8.26235554271257
2005-01-01,7.3,6.92185166108976,6.93485549502159,6.92960101159614,8.4885682695633
2006-01-01,7.1,6.68486038210702,6.61880893868832,6.64672090591942,6.83210158363216
2007-01-01,6.6,6.38177356134392,6.30282242777532,6.3638408002427,7.21697460409196
2008-01-01,5.9,6.01260202070208,5.98684729365792,6.08096069456598,6.8924365102299
2009-01-01,5.5,5.78888788642618,5.67082481792795,5.79730557490111,6.30941111432186
2010-01-01,5.4,5.5518966071839,5.35477672463932,5.51442546922439,5.73394920818392
2011-01-01,4.8,5.24880978628124,5.03875489965187,5.23154536354768,5.45848730204598
