"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2012-01-01,4.87963824550331,3.89766550363651,5.84188222794636,4.72268051932876,3.62216088443275,5.82320015422477,5.23154208947238,3.25714097723545,7.20594320170931,5.15092381227588,3.04114145798703,7.26070616656472
2013-01-01,4.65592411122717,3.66119444195051,5.63806601469954,4.40663014360675,3.37975926146344,5.43350102575005,5.23153881539709,3.25713718417996,7.20594044661421,4.94567794223882,2.66132781020094,7.2300280742767
2014-01-01,4.41893283198513,3.43371525126075,5.32330596808567,4.09057976788473,3.13735760556599,5.04380193020346,5.23153554132179,3.25713339112367,7.20593769151991,5.06572071418429,2.27818205171246,7.85325937665612
2015-01-01,4.11584601108235,3.14834097578874,5.04273577921931,3.77452939216271,2.89495589866614,4.65410288565929,5.23153226724649,3.2571295980666,7.20593493642639,4.99551093557218,1.97028338151258,8.02073848963177
2016-01-01,3.7466744703045,2.77921743114956,4.64126400104705,3.4584790164407,2.65255411773067,4.26440391515072,5.23152899317119,3.25712580500874,7.20593218133365,5.03657474085486,1.69367816911162,8.3794713125981
2017-01-01,3.52296033602843,2.60040497203181,4.44042731473869,3.14242864071868,2.41015223212197,3.87470504931539,5.2315257190959,3.25712201195009,7.20592942624171,5.0125576290276,1.43372809635692,8.59138716169829
2018-01-01,3.28596905678616,2.32997975835511,4.19705481543597,2.82637826499666,2.16775019917745,3.48500633081588,5.2315224450206,3.25711821889065,7.20592667115055,5.02660458976473,1.19723655189545,8.85597262763401
2019-01-01,2.98288223588343,2.12787360919418,3.96839510307948,2.51032788927465,1.92534795644997,3.09530782209933,5.2315191709453,3.25711442583043,7.20592391606018,5.01838890141013,0.97018505579797,9.06659274702228
2020-01-01,2.61371069510586,1.66420761359443,3.57336330125136,2.19427751355263,1.68294540724239,2.70560961986287,5.23151589687001,3.25711063276942,7.20592116097059,5.02319403587324,0.758391079764644,9.28799699198184
2021-01-01,2.38999656082991,1.42086889045083,3.39388791459037,1.87822713783061,1.44054239153845,2.31591188412278,5.23151262279471,3.25710683970763,7.20591840588179,5.02038364236608,0.554504711553753,9.48626257317841
2022-01-01,2.1530052815873,1.25652483524684,3.134563638425,1.5621767621086,1.19813862164917,1.92621490256802,5.23150934871941,3.25710304664504,7.20591565079378,5.02202736570529,0.360923443788067,9.68313128762252
2023-01-01,1.84991846068471,0.958558129881775,2.76961692137878,1.24612638638658,0.955733519939423,1.53651925283374,5.23150607464411,3.25709925358167,7.20591289570656,5.02106599627109,0.174179578184293,9.86795241435789
