"ds","yhat","yhat_lower","yhat_upper","trend"
1998-01-01,8.95078780249228,8.01395921529702,9.90261822500562,-2.57915911715134
1999-01-01,8.64770100740749,7.70822993570675,9.58359192545886,-2.86220616727306
2000-01-01,8.27852949244936,7.32440080447268,9.26021089912413,-3.14525321739217
2001-01-01,8.0548153839204,7.15242939937121,9.05345164133018,-3.42907573902624
2002-01-01,7.81782413042283,6.85884342160249,8.78370760954993,-3.71212278922078
2003-01-01,7.51473733529274,6.50390272001053,8.41738197793663,-3.99516983938768
2004-01-01,7.14556579495034,6.2505460615924,8.14935015165216,-4.27821691489149
2005-01-01,6.92185166108976,6.02930065111782,7.83019432541433,-4.56203946185725
2006-01-01,6.68486038210702,5.81284463368132,7.62768203287834,-4.84508653753653
2007-01-01,6.38177356134392,5.42083575117041,7.33489442998452,-5.12813361333656
2008-01-01,6.01260202070208,5.05988425574666,6.9282258058168,-5.41118068913978
2009-01-01,5.78888788642618,4.83554494990332,6.70185790966456,-5.69500323652019
2010-01-01,5.5518966071839,4.65231301514064,6.5215773867005,-5.97805031245968
2011-01-01,5.24880978628124,4.40739432914128,6.21342768337922,-6.26109738839916
2012-01-01,4.87963824550331,3.89766550363651,5.84188222794636,-6.54414446433865
2013-01-01,4.65592411122717,3.66119444195051,5.63806601469954,-6.82796701171906
2014-01-01,4.41893283198513,3.43371525126075,5.32330596808567,-7.11101408765855
2015-01-01,4.11584601108235,3.14834097578874,5.04273577921931,-7.39406116359803
2016-01-01,3.7466744703045,2.77921743114956,4.64126400104705,-7.67710823953752
2017-01-01,3.52296033602843,2.60040497203181,4.44042731473869,-7.96093078691793
2018-01-01,3.28596905678616,2.32997975835511,4.19705481543597,-8.24397786285742
2019-01-01,2.98288223588343,2.12787360919418,3.96839510307948,-8.5270249387969
2020-01-01,2.61371069510586,1.66420761359443,3.57336330125136,-8.81007201473638
2021-01-01,2.38999656082991,1.42086889045083,3.39388791459037,-9.0938945621168
2022-01-01,2.1530052815873,1.25652483524684,3.134563638425,-9.37694163805629
2023-01-01,1.84991846068471,0.958558129881775,2.76961692137878,-9.65998871399577
