"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
2001-01-01,1.3,1.25082149984364,1.29974132116888,1.24546631754075,1.29870000065
2002-01-01,1.3,1.27288526971861,1.29990143249884,1.26545400661588,1.3
2003-01-01,1.3,1.28414158875148,1.29996244164146,1.285441695691,1.3
2004-01-01,1.3,1.28459802957647,1.29998568868766,1.30542938476613,1.3
2005-01-01,1.3,1.3315123916819,1.29999454678881,1.32547183463324,1.3
2006-01-01,1.2,1.35358250568909,1.29999792209746,1.34545952370836,1.3
2007-01-01,1.4,1.36485813840537,1.23810340900184,1.36544721278349,1.2
2008-01-01,1.3,1.3653339095739,1.33831059792628,1.38543490185861,1.4
2009-01-01,1.4,1.41226765647799,1.31459794715002,1.40547735172572,1.3
2010-01-01,1.5,1.43435075760976,1.36745823032034,1.42546504080085,1.4
2011-01-01,1.5,1.44562640835486,1.44949601797716,1.44545272987597,1.5
