"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",0.0477649791966081,3.62813898333813,0.0611580191175313,NA,NA,NA
"ETS",0.0517334077080667,3.74356892230928,0.0769234296560521,NA,-24.0519369819721,-22.858251163577
"Linear Regression",0.0485950903076477,3.68249902665268,0.0627186660518449,0.504198583718685,-23.7034680418857,-22.5097822234906
"ARIMA(Auto)",0.0546636363045455,4.02007991553447,0.0852811873096128,NA,-17.9043667089382,-17.6017816159441
