"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",0.129010708977458,13.8956095669023,0.148993550239509,NA,NA,NA
"ETS",0.0353892483781706,3.53379370264556,0.0537881987420039,NA,-52.4540688211838,-46.7874349461851
"Linear Regression",0.12853579973497,13.7816426089883,0.149737670021192,0.909502297559946,-12.2374102718417,-9.40409333434235
"ARIMA(Auto)",0.0635565150721599,6.52148130835509,0.082090468440004,NA,-30.1949606255973,-28.5285339374849
