"ds","Residuals"
2002-01-01,0.272653916155177
2003-01-01,0.159262595867991
2004-01-01,0.245871275580807
2005-01-01,0.0327172393476295
2006-01-01,-0.0806740809395559
2007-01-01,-0.194065401226741
2008-01-01,-0.207456721513926
2009-01-01,-0.120610757747104
2010-01-01,-0.134002078034289
2011-01-01,-0.147393398321474
2012-01-01,-0.16078471860866
2013-01-01,-0.0739387548418372
2014-01-01,-0.0873300751290225
2015-01-01,-0.000721395416207755
2016-01-01,-0.0141127157033931
2017-01-01,0.0727332480634294
2018-01-01,0.0593419277762441
2019-01-01,0.145950607489059
2020-01-01,0.232559287201874
