"ds","Residuals"
2002-01-01,0.000939148367098286
2003-01-01,-0.00326464911605743
2004-01-01,0.143093661640368
2005-01-01,-0.160276327248908
2006-01-01,-0.109585509109407
2007-01-01,0.0698618363702667
2008-01-01,0.100000000000001
2009-01-01,0.169861836370267
2010-01-01,-0.0301381636297333
2011-01-01,-0.0698618363702668
2012-01-01,3.33066907387547e-16
2013-01-01,0.1
2014-01-01,-0.0301381636297332
2015-01-01,0.0301381636297331
2016-01-01,-0.030138163629733
2017-01-01,0.0301381636297329
2018-01-01,-0.0301381636297329
2019-01-01,0.0301381636297332
2020-01-01,0.0698618363702669
