"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2021-01-01,0.161845100234913,-0.025555106383598,0.337974912849814,0.457259672431498,0.410471355234366,0.504047989628631,0.267439710382853,-0.0976159924122356,0.632495413177942,0.5,0.324669434282123,0.675330565717877
2022-01-01,0.0870159435448308,-0.101279244687023,0.276248158786549,0.435355126554429,0.390808153549271,0.479902099559587,0.267438707967578,-0.0976170506253671,0.632494466560523,0.5,0.21224444566492,0.78775555433508
2023-01-01,0.0112253520890189,-0.159215323284642,0.198704282967612,0.415883202043674,0.373328658352448,0.458437745734901,0.267437705552304,-0.0976181088385607,0.632493519943168,0.5,0.0339646288750975,0.966035371124902
2024-01-01,-0.0655391077165812,-0.262949290516845,0.120340756890743,0.398573742798073,0.357790356611851,0.439357128984295,0.267436703137029,-0.0976191670518176,0.632492573325877,0.5,-0.144521664095309,1.14452166409531
2025-01-01,-0.18501872708156,-0.373815156340514,0.0155009059713059,0.383186595050574,0.343977667771929,0.422395522329219,0.267435700721755,-0.0976202252651376,0.632491626708648,0.5,-0.357513139045892,1.35751313904589
2026-01-01,-0.259847883771616,-0.450990572930026,-0.0644898235394163,0.369508275442552,0.331698952749099,0.407317598136005,0.267434698306481,-0.0976212834785208,0.632490680091482,0.5,-0.580166627983532,1.58016662798353
2027-01-01,-0.335638475227409,-0.532819420571431,-0.144183533448807,0.357349009126961,0.32078385509369,0.393914163160231,0.267433695891206,-0.0976223416919673,0.63248973347438,0.5,-0.82561539680344,1.82561539680344
2028-01-01,-0.412402935033064,-0.59209261241148,-0.226215905653928,0.346540096806563,0.311080937429784,0.381999256183343,0.267432693475932,-0.097623399905477,0.632488786857341,0.5,-1.08330848071042,2.08330848071042
2029-01-01,-0.531882554397995,-0.723991408713148,-0.343127221377566,0.336931574177182,0.302455580381067,0.371407567973296,0.267431691060658,-0.0976244581190497,0.632487840240365,0.5,-1.35844328134269,2.35844328134269
2030-01-01,-0.606711711088148,-0.790329380276723,-0.404803840394308,0.328390131302757,0.29478811483251,0.361992147773005,0.267430688645383,-0.0976255163326866,0.632486893623452,0.5,-1.64619523842024,2.64619523842024
2031-01-01,-0.682502302543848,-0.877362904821968,-0.489310528336941,0.320797263055357,0.287972161614903,0.353622364495812,0.267429686230108,-0.0976265745463858,0.632485947006602,0.5,-1.94856312074715,2.94856312074715
2032-01-01,-0.759266762349504,-0.938527570077847,-0.563587101741402,0.314047624959082,0.281913155577023,0.34618209434114,0.267428683814834,-0.0976276327601481,0.632485000389816,0.5,-2.26318208353386,3.26318208353386
