"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
2002-01-01,2.1,1.82356081255694,2.10663879148407,1.82734608384482,2.0990608516329
2003-01-01,1.9,1.74752298283494,1.90154899277879,1.74073740413201,1.90326464911606
2004-01-01,1.9,1.670511285151,1.7192359732581,1.65412872441919,1.75690633835963
2005-01-01,1.6,1.5507837508572,1.55720919186566,1.56728276065237,1.76027632724891
2006-01-01,1.4,1.47570735658534,1.41316510775296,1.48067408093956,1.50958550910941
2007-01-01,1.2,1.3996695293689,1.28511019896155,1.39406540122674,1.13013816362973
2008-01-01,1.1,1.32266979486024,1.17125954338524,1.30745672151393,1
2009-01-01,1.1,1.20296165592708,1.07004686286754,1.2206107577471,0.930138163629733
2010-01-01,1,1.127938168226,0.980089008187091,1.13400207803429,1.03013816362973
2011-01-01,0.9,1.05200635903308,0.900122383455456,1.04739339832147,0.969861836370267
2012-01-01,0.8,0.975150166094474,0.829034205713959,0.96078471860866,0.8
2013-01-01,0.8,0.855596712703534,0.765834483887618,0.873938754841837,0.7
2014-01-01,0.7,0.780743601696372,0.709664150120002,0.787330075129022,0.730138163629733
2015-01-01,0.7,0.704953007978417,0.659725863795731,0.700721395416208,0.669861836370267
2016-01-01,0.6,0.628188546916326,0.61534333149883,0.614112715703393,0.630138163629733
2017-01-01,0.6,0.508708927551349,0.575881820087807,0.527266751936571,0.569861836370267
2018-01-01,0.5,0.433879770861272,0.540809701835805,0.440658072223756,0.530138163629733
2019-01-01,0.5,0.35808917940549,0.509620947165483,0.354049392510941,0.469861836370267
2020-01-01,0.5,0.281324719599856,0.481898431017364,0.267440712798126,0.430138163629733
